"","ID","Description","DEGs_in_gs","DEGs_total","gs_size","background","pvalue","p.adjust","qvalue","geneID","gene_ratio","bg_ratio"
"40","GO:0110110","positive regulation of animal organ morphogenesis",15,1477,101,23210,0.00178344033733986,0.00842211414825795,0.00493014803531607,"Tgfb1/Edn1/Bmp4/Myc/Pim1/Jag1/B4galt1/Sema3c/Pdgfra/Pml/Hoxb7/Rbpj/Tgfb2/Ar/Hmga2",0.010155721056195,0.0043515725980181
"41","GO:0048070","regulation of developmental pigmentation",5,1477,15,23210,0.00181639124985959,0.00851060313314493,0.00498194783134209,"Kitl/Zeb2/Adamts9/Gna11/Spns2",0.003385240352065,0.000646273158121499
"42","GO:1905330","regulation of morphogenesis of an epithelium",16,1477,112,23210,0.00192996728238415,0.00890044559338672,0.00521015431318387,"Tbx2/Rac1/Tgfb1/Met/Ntn4/Bmp4/Wnt5a/Fzd6/Snai2/Sapcd2/Pdgfra/Phldb2/Fkbpl/Hoxb7/Ar/Adamts12",0.010832769126608,0.00482550624730719
"43","GO:0099003","vesicle-mediated transport in synapse",28,1477,246,23210,0.00208347776814601,0.00948969993792209,0.00555509278087412,"Fmr1/Grik5/Rab11a/Bcl2l1/Stxbp5/Itgb3/Bin1/Ap3s1/Stxbp1/P2ry1/Pfn2/Atp2a2/Erc1/Sh3gl3/Ap1s2/Ap3m2/Rab3a/Syde1/P2ry2/Htr2a/Ap2b1/Cd24a/Prkca/Rap1b/Kcnh1/Ap3b2/Actg1/Rap1a",0.018957345971564,0.0105988797931926
"44","GO:0099633","protein localization to postsynaptic specialization membrane",7,1477,30,23210,0.00231967778765687,0.0103735852072363,0.0060725026790593,"Nptxr/Nptx1/Gphn/Rapgef4/Gpc6/Kalrn/Rap1a",0.004739336492891,0.001292546316243
"45","GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane",7,1477,30,23210,0.00231967778765687,0.0103735852072363,0.0060725026790593,"Nptxr/Nptx1/Gphn/Rapgef4/Gpc6/Kalrn/Rap1a",0.004739336492891,0.001292546316243
"46","GO:0060021","roof of mouth development",14,1477,94,23210,0.00243123057705642,0.0108481435882368,0.00635030027578467,"Tbx2/Jag2/Mef2c/Arid5b/Wnt5a/Snai2/Asph/Pdgfra/Csrnp1/Tgfb2/Chd7/Inhba/Msx1/Dhrs3",0.00947867298578199,0.0040499784575614
"47","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly",15,1477,106,23210,0.00288986449781788,0.0125485921776167,0.00734571106273313,"Fmr1/Rac1/Aqp1/Ndel1/Cobl/Twf2/Wasl/Dock11/Zmynd8/Crocc/Cdc42ep4/Agrn/Cdc42ep2/Sept9/Cdc42ep5",0.010155721056195,0.0045669969840586
"48","GO:0110111","negative regulation of animal organ morphogenesis",8,1477,40,23210,0.00325794109817958,0.0138752142929583,0.00812229082648648,"Tbx2/Nfib/Bmp4/Wnt5a/Lims2/Tgfb2/Foxc1/Ceacam1",0.00541638456330399,0.001723395088324
"49","GO:0098930","axonal transport",10,1477,58,23210,0.0033438096597309,0.0141005156637103,0.00825417803328681,"Fmr1/Hspb1/Ndel1/Actr10/Nefl/Sybu/Ap3s1/Ap3m2/Fez1/Ap3b2",0.00677048070412999,0.0024989228780698
"50","GO:0009812","flavonoid metabolic process",4,1477,11,23210,0.00375267579904288,0.0153385820373166,0.00897891892280422,"Cyp1a1/Ugt1a6a/Ugt1a7c/Ugt1a6b",0.002708192281652,0.0004739336492891
"51","GO:1905809","negative regulation of synapse organization",6,1477,25,23210,0.00407913384597407,0.0162839023131285,0.00953229172427625,"Wnt5a/Ptk2/Tlr2/Fzd9/Arhgef15/Prnp",0.004062288422478,0.0010771219302025
"52","GO:0044272","sulfur compound biosynthetic process",12,1477,79,23210,0.00409021528845716,0.0163148035047195,0.00955038070363811,"Pdk1/Adi1/Cbs/Acss2/Slc7a11/Ugdh/Tpk1/Acsl4/Pdha1/Eif2ak3/Csgalnact1/Mat2a",0.00812457684495599,0.0034037052994399
